Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,45.790001,47.270000,45.540001,46.840000,44.848595,41097000
2022-04-29,44.990002,45.360001,43.500000,43.590000,41.736767,70765900
2022-05-02,43.720001,44.990002,43.509998,44.959999,43.048515,45446500
2022-05-03,44.790001,45.490002,44.230000,45.060001,43.144272,40158400
2022-05-04,45.060001,46.639999,44.410000,46.540001,44.561348,44625600
2022-05-05,45.599998,45.910000,44.130001,44.599998,43.041386,52996700
2022-05-06,44.490002,45.150002,43.840000,44.299999,42.751869,40916600
2022-05-09,43.810001,44.200001,42.869999,43.070000,41.564857,44925800
2022-05-10,44.349998,44.740002,43.500000,44.009998,42.472004,42770000
2022-05-11,44.020000,44.290001,42.779999,42.830002,41.333244,40351700
2022-05-12,42.730000,42.910000,42.009998,42.840000,41.342896,42329600
2022-05-13,43.419998,43.840000,42.970001,43.599998,42.076332,32034100
2022-05-16,43.419998,43.610001,42.790001,43.080002,41.574505,25071900
2022-05-17,43.820000,44.419998,43.650002,44.400002,42.848381,28596600
2022-05-18,43.980000,43.980000,42.220001,42.349998,40.870018,35218400
2022-05-19,42.320000,42.700001,41.720001,42.009998,40.541897,29181000
2022-05-20,42.250000,42.290001,40.310001,41.650002,40.194481,44802300
2022-05-23,41.689999,42.250000,41.330002,42.000000,40.532246,27199500
2022-05-24,41.700001,41.889999,41.099998,41.669998,40.213779,29837500
2022-05-25,41.439999,42.520000,41.389999,42.200001,40.725262,26283100
2022-05-26,42.169998,43.680000,42.080002,43.480000,41.960529,28826700
2022-05-27,43.590000,44.549999,43.549999,44.549999,42.993134,30553300
2022-05-31,44.250000,44.750000,43.650002,44.419998,42.867680,41111500
2022-06-01,44.770000,44.930000,43.529999,44.110001,42.568516,29885500
2022-06-02,44.189999,44.880001,43.939999,44.840000,43.272999,28727600
2022-06-03,44.110001,44.250000,43.340000,43.389999,41.873672,33174700
2022-06-06,43.810001,44.040001,43.080002,43.340000,41.825420,25437100
2022-06-07,43.060001,43.590000,42.660000,43.529999,42.008778,25168700
2022-06-08,42.250000,42.259998,41.029999,41.230000,39.789154,59649900
2022-06-09,41.009998,41.349998,40.009998,40.009998,38.611790,39047200
2022-06-10,39.849998,40.080002,39.180000,39.180000,37.810799,43066200
2022-06-13,38.549999,38.810001,37.669998,37.770000,36.450073,50335900
2022-06-14,38.009998,38.200001,37.540001,37.930000,36.604481,31351700
2022-06-15,38.560001,39.169998,37.919998,38.650002,37.299320,37652300
2022-06-16,37.700001,37.790001,36.930000,37.340000,36.035099,45576500
2022-06-17,37.480000,38.119999,36.599998,36.970001,35.678032,71393200
2022-06-21,37.360001,38.029999,37.330002,37.730000,36.411472,34004900
2022-06-22,37.330002,37.770000,37.220001,37.380001,36.073704,32571000
2022-06-23,37.610001,37.619999,36.910000,37.410000,36.102650,30163000
2022-06-24,37.849998,38.639999,37.740002,38.610001,37.260715,38159900
2022-06-27,38.869999,39.060001,38.470001,38.630001,37.280018,29585300
2022-06-28,38.580002,39.020000,37.740002,37.779999,36.459721,37824200
2022-06-29,37.540001,37.599998,37.020000,37.290001,35.986847,25437200
2022-06-30,37.209999,38.000000,36.730000,37.410000,36.102650,35141000
2022-07-01,37.090000,37.200001,35.880001,36.340000,35.070045,40596300
2022-07-05,35.930000,36.740002,35.540001,36.689999,35.407814,33215000
2022-07-06,36.820000,37.419998,36.459999,36.990002,35.697334,26258300
2022-07-07,37.889999,38.330002,37.730000,38.139999,36.807144,33165400
2022-07-08,37.660000,38.139999,37.389999,37.990002,36.662384,22566300
2022-07-11,37.660000,37.669998,37.029999,37.200001,35.899990,25904300
2022-07-12,37.650002,37.700001,36.990002,37.209999,35.909641,30546300
2022-07-13,36.680000,37.430000,36.619999,37.209999,35.909641,27059200
2022-07-14,36.990002,38.160000,36.290001,37.709999,36.392170,36690700
2022-07-15,38.270000,38.669998,37.730000,38.619999,37.270367,32892300
2022-07-18,39.099998,39.340000,38.529999,38.709999,37.357224,30814400
2022-07-19,39.320000,40.730000,39.240002,40.220001,38.814453,53095300
2022-07-20,40.209999,40.669998,39.560001,40.560001,39.142574,36387900
2022-07-21,40.509998,40.650002,39.820000,40.610001,39.190823,29661200
2022-07-22,40.369999,40.509998,38.939999,39.200001,37.830101,41350000
2022-07-25,39.279999,39.410000,38.549999,39.160000,37.791496,32263400
2022-07-26,39.099998,39.570000,38.880001,38.959999,37.598484,35925500
2022-07-27,39.270000,40.419998,39.230000,40.180000,38.775852,42571600
2022-07-28,40.090000,40.119999,39.040001,39.709999,38.322273,56662300
