Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,32.570000,33.150002,30.125000,32.327499,32.327499,7070000
2022-04-29,31.825001,32.722500,30.752501,31.267500,31.267500,5143600
2022-05-02,30.912500,31.347500,28.174999,29.892500,29.892500,10172000
2022-05-03,29.620001,31.107500,28.605000,30.107500,30.107500,7312800
2022-05-04,29.802500,31.937500,28.930000,31.770000,31.770000,6651200
2022-05-05,30.985001,31.170000,28.780001,29.782499,29.782499,7015600
2022-05-06,29.320000,30.139999,27.557501,28.674999,28.674999,7161600
2022-05-09,27.695000,27.695000,24.520000,24.697500,24.697500,13264800
2022-05-10,25.745001,26.514999,22.000000,23.375000,23.375000,16603200
2022-05-11,23.367500,23.817499,20.000000,20.332500,20.332500,16681200
2022-05-12,20.760000,27.014999,19.442499,22.392500,22.392500,40139600
2022-05-13,24.750000,26.695000,23.760000,24.597500,24.597500,23930800
2022-05-16,24.700001,24.795000,22.695000,22.950001,22.950001,11582000
2022-05-17,23.475000,25.094999,22.799999,25.094999,25.094999,10444800
2022-05-18,24.094999,24.959999,22.542500,22.870001,22.870001,11560000
2022-05-19,22.805000,25.495001,22.540001,24.797501,24.797501,12720400
2022-05-20,24.952499,25.602501,22.437500,23.915001,23.915001,9972000
2022-05-23,24.142500,24.320000,22.875000,24.032499,24.032499,6994000
2022-05-24,23.512501,23.549999,21.674999,22.287500,22.287500,8879600
2022-05-25,22.535000,28.867500,22.535000,28.792500,28.792500,40060000
2022-05-26,29.000000,37.115002,28.674999,32.115002,32.115002,57892400
2022-05-27,35.250000,35.924999,31.750000,34.302502,34.302502,30045200
2022-05-31,34.302502,34.982498,30.129999,31.184999,31.184999,19084400
2022-06-01,30.705000,32.397499,29.252501,30.350000,30.350000,14991600
2022-06-02,29.750000,34.125000,28.889999,33.500000,33.500000,27918800
2022-06-03,32.500000,34.525002,31.057501,33.424999,33.424999,18234400
2022-06-06,33.825001,34.025002,31.762501,32.025002,32.025002,9532800
2022-06-07,32.500000,37.472500,31.582500,36.625000,36.625000,24967600
2022-06-08,35.347500,38.250000,33.957500,34.682499,34.682499,24473600
2022-06-09,34.697498,34.974998,31.834999,32.244999,32.244999,13114400
2022-06-10,31.500000,32.982498,30.785000,32.272499,32.272499,11820000
2022-06-13,30.127501,31.142500,28.575001,29.562500,29.562500,13792800
2022-06-14,29.392500,32.000000,29.025000,31.542500,31.542500,12739200
2022-06-15,31.237499,32.990002,30.910000,32.322498,32.322498,10764400
2022-06-16,31.235001,32.322498,30.145000,31.432501,31.432501,9995200
2022-06-17,31.715000,33.965000,31.580000,33.785000,33.785000,12340800
2022-06-21,34.555000,36.349998,33.880001,35.070000,35.070000,12512400
2022-06-22,34.667500,36.182499,34.107498,34.615002,34.615002,7838000
2022-06-23,35.410000,35.997501,34.182499,35.505001,35.505001,6682800
2022-06-24,35.750000,37.092499,32.882500,33.802502,33.802502,16995600
2022-06-27,34.117500,34.262501,31.825001,32.422501,32.422501,9745600
2022-06-28,32.752499,32.832500,30.570000,31.094999,31.094999,6610000
2022-06-29,30.387501,31.622499,29.897499,30.715000,30.715000,6826400
2022-06-30,29.842501,31.647499,29.440001,30.575001,30.575001,6718800
2022-07-01,30.282499,31.292500,29.822500,30.855000,30.855000,6617200
2022-07-05,30.375000,30.620001,29.752501,30.057501,30.057501,6036000
2022-07-06,30.172501,30.570000,28.342501,29.357500,29.357500,9988800
2022-07-07,31.122499,33.875000,30.452499,33.779999,33.779999,30313600
2022-07-08,31.665001,33.167500,30.627501,32.134998,32.134998,13199600
2022-07-11,32.139999,32.935001,31.162500,32.522499,32.522499,7532800
2022-07-12,32.700001,35.647499,31.815001,34.279999,34.279999,16899600
2022-07-13,33.750000,36.337502,33.750000,35.320000,35.320000,13703600
2022-07-14,34.797501,37.987499,34.049999,34.049999,34.049999,20970400
2022-07-15,34.860001,35.592499,33.507500,35.410000,35.410000,9832400
2022-07-18,36.250000,37.400002,35.775002,36.660000,36.660000,11155200
2022-07-19,37.435001,39.209999,36.587502,37.924999,37.924999,12828000
2022-07-20,38.500000,40.407501,38.349998,39.687500,39.687500,11400400
2022-07-21,39.930000,40.000000,37.290001,38.367500,38.367500,9277600
2022-07-22,36.880001,38.700001,34.930000,35.779999,35.779999,10060200
2022-07-25,35.000000,35.509998,33.250000,33.980000,33.980000,5686300
2022-07-26,32.869999,33.310001,32.099998,32.430000,32.430000,4866100
2022-07-27,32.959999,34.119999,32.160000,33.779999,33.779999,4251200
2022-07-28,33.389999,34.430000,32.660000,33.840000,33.840000,3207400
2022-07-29,33.680000,34.790001,33.060001,34.009998,34.009998,3988800
2022-08-01,33.799999,35.709999,33.770000,34.779999,34.779999,4196600
